,Month,Initial_Page,Results_Page,Profile_Page,Checkout,Order_Placed,Country,Platform
97,2,94560,91440,82140,60840,60240,Uruguay,iPhone
98,3,144240,139710,126810,88380,87450,Uruguay,iPhone
99,4,174300,169890,152340,104280,102960,Uruguay,iPhone
100,5,180600,174990,153990,98640,97290,Uruguay,iPhone
101,6,122280,117960,101910,62580,61740,Uruguay,iPhone
102,7,87150,83280,72060,43200,42510,Uruguay,iPhone
103,8,54330,51510,42690,24390,24030,Uruguay,iPhone
104,1,62010,58350,48690,26460,26220,Chile,iPhone
105,2,70950,67080,55410,30060,29550,Chile,iPhone
106,3,87810,83670,70050,36510,36150,Chile,iPhone
107,4,135060,130380,108570,51210,49830,Chile,iPhone
108,5,157260,151320,123450,50910,49170,Chile,iPhone
109,6,77550,73470,59040,24060,23370,Chile,iPhone
110,7,58530,54000,41490,17820,17370,Chile,iPhone
111,8,33930,30660,22590,8430,8220,Chile,iPhone
112,1,59250,57990,44190,20340,18510,Chile,Android
113,2,63300,61560,47100,22320,20850,Chile,Android
114,3,82740,80730,63180,27630,25320,Chile,Android
115,4,122580,119490,96000,41130,37770,Chile,Android
116,5,146280,142590,110100,40740,35070,Chile,Android
117,6,79170,75810,53820,17670,16290,Chile,Android
118,7,59100,56520,38100,14820,13500,Chile,Android
119,8,39450,38040,22440,7800,6780,Chile,Android
120,1,57180,21660,17580,8250,8010,Uruguay,Web Mobile
121,2,55560,20640,17100,8040,7800,Uruguay,Web Mobile
122,3,87240,37830,29760,12870,12540,Uruguay,Web Mobile
123,4,99630,47370,38670,15390,14940,Uruguay,Web Mobile
124,5,101190,51630,41220,15420,15000,Uruguay,Web Mobile
125,6,67770,31290,24900,9030,8520,Uruguay,Web Mobile
126,7,45780,23280,17790,7170,6780,Uruguay,Web Mobile
127,8,26520,12330,9600,4470,4260,Uruguay,Web Mobile
128,1,3120,2880,2100,1320,1290,Argentina,iPad
129,2,3450,3270,2340,1620,1560,Argentina,iPad
130,3,4500,4290,3390,2070,1950,Argentina,iPad
131,4,6060,5760,4110,2820,2640,Argentina,iPad
132,5,6360,5910,4440,2760,2670,Argentina,iPad
133,6,3180,2880,2130,1200,1080,Argentina,iPad
134,7,2850,2580,1710,1080,990,Argentina,iPad
135,8,1410,1350,930,480,480,Argentina,iPad
136,1,1500,1440,960,510,480,Brasil,iPad
137,2,1950,1860,1140,600,570,Brasil,iPad
138,3,2070,2010,1200,690,600,Brasil,iPad
139,4,3450,3300,2580,1350,1170,Brasil,iPad
140,5,3840,3600,2340,930,810,Brasil,iPad
141,6,1500,1440,1020,480,480,Brasil,iPad
142,7,1380,1380,870,330,330,Brasil,iPad
143,8,780,720,450,210,180,Brasil,iPad
144,1,900,750,540,300,240,Chile,iPad
145,2,1050,990,720,390,360,Chile,iPad
146,3,1830,1800,1290,630,630,Chile,iPad
147,4,1890,1680,1290,720,660,Chile,iPad
148,5,2460,2280,1680,990,930,Chile,iPad
149,6,1200,1140,870,390,330,Chile,iPad
150,7,930,870,660,450,420,Chile,iPad
151,8,390,330,270,120,120,Chile,iPad
152,1,690,630,540,330,300,Uruguay,iPad
153,2,810,630,450,300,300,Uruguay,iPad
154,3,1380,1260,1020,810,780,Uruguay,iPad
155,4,1680,1530,1170,930,930,Uruguay,iPad
156,5,2100,1860,1590,1200,1080,Uruguay,iPad
157,6,1140,1050,870,600,600,Uruguay,iPad
158,7,840,690,540,270,270,Uruguay,iPad
159,8,420,360,210,210,210,Uruguay,iPad
